"","date","avg_daily_entries"
"X2018",2018-01-01,451068
"X2018.1",2018-02-01,460568
"X2018.2",2018-03-01,485263
"X2018.3",2018-04-01,528778
"X2018.4",2018-05-01,513485
"X2018.5",2018-06-01,543908
"X2018.6",2018-07-01,512605
"X2018.7",2018-08-01,459940
"X2018.8",2018-09-01,469905
"X2018.9",2018-10-01,528741
"X2018.10",2018-11-01,472304
"X2018.11",2018-12-01,407362
"X2019",2019-01-01,423566
"X2019.1",2019-02-01,460295
"X2019.2",2019-03-01,503708
"X2019.3",2019-04-01,562150
"X2019.4",2019-05-01,528207
"X2019.5",2019-06-01,519352
"X2019.6",2019-07-01,535030
"X2019.7",2019-08-01,488168
"X2019.8",2019-09-01,523190
"X2019.9",2019-10-01,568265
"X2019.10",2019-11-01,503853
"X2019.11",2019-12-01,448850
"X2020",2020-01-01,508366
"X2020.1",2020-02-01,496887
"X2020.2",2020-03-01,246292
"X2020.3",2020-04-01,30017
"X2020.4",2020-05-01,31674
"X2020.5",2020-06-01,46008
"X2020.6",2020-07-01,52405
"X2020.7",2020-08-01,58898
"X2020.8",2020-09-01,74259
"X2020.9",2020-10-01,76327
"X2020.10",2020-11-01,71443
"X2020.11",2020-12-01,64600
"X2021",2021-01-01,63023
"X2021.1",2021-02-01,66830
"X2021.2",2021-03-01,81807
"X2021.3",2021-04-01,93778
"X2021.4",2021-05-01,102446
"X2021.5",2021-06-01,131028
"X2021.6",2021-07-01,153632
"X2021.7",2021-08-01,140034
"X2021.8",2021-09-01,168422
"X2021.9",2021-10-01,165031
"X2021.10",2021-11-01,150143
"X2021.11",2021-12-01,140166
"X2022",2022-01-01,107506
"X2022.1",2022-02-01,138635
"X2022.2",2022-03-01,188492
"X2022.3",2022-04-01,208099
"X2022.4",2022-05-01,202079
"X2022.5",2022-06-01,234066
"X2022.6",2022-07-01,215585
"X2022.7",2022-08-01,212771
"X2022.8",2022-09-01,229851
"X2022.9",2022-10-01,233267
"X2022.10",2022-11-01,228940
"X2022.11",2022-12-01,207313
"X2023",2023-01-01,228665
"X2023.1",2023-02-01,237880
"X2023.2",2023-03-01,285197
"X2023.3",2023-04-01,281998
"X2023.4",2023-05-01,289865
"X2023.5",2023-06-01,304650
"X2023.6",2023-07-01,298167
"X2023.7",2023-08-01,294278
"X2023.8",2023-09-01,321308
"X2023.9",2023-10-01,327832
